Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,File Size (bytes)
89,1.5497207641601562e-05,1.0013580322265625e-05,9.059906005859375e-06,463174
90,1.5020370483398438e-05,1.0251998901367188e-05,9.5367431640625e-06,463174
91,1.430511474609375e-05,1.0013580322265625e-05,9.059906005859375e-06,463174
92,1.8596649169921875e-05,1.049041748046875e-05,2.5272369384765625e-05,463174
93,1.8835067749023438e-05,1.0013580322265625e-05,9.059906005859375e-06,463174
94,1.3828277587890625e-05,1.0251998901367188e-05,9.298324584960938e-06,463174
95,1.33514404296875e-05,9.059906005859375e-06,9.298324584960938e-06,463174
96,1.4781951904296875e-05,1.0013580322265625e-05,9.5367431640625e-06,463174
97,1.2874603271484375e-05,9.298324584960938e-06,9.775161743164062e-06,463174
98,0.0001678466796875,1.8358230590820312e-05,1.049041748046875e-05,463174
99,1.5497207641601562e-05,1.049041748046875e-05,1.2636184692382812e-05,463174
100,1.430511474609375e-05,2.6702880859375e-05,1.049041748046875e-05,463174
101,1.5497207641601562e-05,1.0728836059570312e-05,1.0728836059570312e-05,463174
102,1.5974044799804688e-05,2.1457672119140625e-05,7.43865966796875e-05,463174
103,5.745887756347656e-05,1.71661376953125e-05,1.1205673217773438e-05,463174
104,4.00543212890625e-05,1.0967254638671875e-05,1.0013580322265625e-05,463174
105,1.4781951904296875e-05,1.0013580322265625e-05,1.0967254638671875e-05,463174
106,4.291534423828125e-05,2.4557113647460938e-05,2.6464462280273438e-05,463174
107,1.52587890625e-05,0.00012135505676269531,1.9550323486328125e-05,463174
108,2.193450927734375e-05,3.0279159545898438e-05,1.0013580322265625e-05,463174
109,1.811981201171875e-05,1.1205673217773438e-05,1.049041748046875e-05,463174
110,1.6450881958007812e-05,1.049041748046875e-05,1.0728836059570312e-05,463174
111,1.5735626220703125e-05,1.7642974853515625e-05,2.1219253540039062e-05,463174
112,2.193450927734375e-05,8.58306884765625e-06,8.344650268554688e-06,463174
113,1.3113021850585938e-05,0.0001068115234375,2.2172927856445312e-05,463174
114,4.029273986816406e-05,7.867813110351562e-06,1.1444091796875e-05,463174
115,1.5974044799804688e-05,7.3909759521484375e-06,7.152557373046875e-06,463174
116,1.0013580322265625e-05,6.67572021484375e-06,2.7179718017578125e-05,463174
117,2.2411346435546875e-05,1.3113021850585938e-05,7.3909759521484375e-06,463174
118,6.890296936035156e-05,5.269050598144531e-05,1.33514404296875e-05,463174
119,2.8133392333984375e-05,1.7642974853515625e-05,1.9073486328125e-05,463174
120,2.1696090698242188e-05,1.6927719116210938e-05,1.9550323486328125e-05,463174
121,1.9550323486328125e-05,8.106231689453125e-06,7.152557373046875e-06,463174
122,1.9073486328125e-05,7.152557373046875e-06,7.152557373046875e-06,463174
123,9.5367431640625e-06,7.152557373046875e-06,6.9141387939453125e-06,463174
124,1.0251998901367188e-05,1.1205673217773438e-05,1.71661376953125e-05,463174
125,1.1682510375976562e-05,8.106231689453125e-06,7.867813110351562e-06,463174
126,1.1920928955078125e-05,7.3909759521484375e-06,7.152557373046875e-06,463174
127,1.0013580322265625e-05,7.62939453125e-06,7.152557373046875e-06,463174
128,4.506111145019531e-05,2.0265579223632812e-05,1.7881393432617188e-05,463174
129,2.4318695068359375e-05,0.0002620220184326172,2.1219253540039062e-05,463174
130,1.2874603271484375e-05,8.106231689453125e-06,7.3909759521484375e-06,463174
131,1.0251998901367188e-05,7.62939453125e-06,7.62939453125e-06,463174
132,1.0251998901367188e-05,8.344650268554688e-06,7.867813110351562e-06,463174
133,1.239776611328125e-05,1.0013580322265625e-05,8.58306884765625e-06,463174
134,2.002716064453125e-05,9.775161743164062e-06,8.821487426757812e-06,463174
135,1.239776611328125e-05,9.059906005859375e-06,7.3909759521484375e-06,463174
136,1.0728836059570312e-05,7.867813110351562e-06,7.3909759521484375e-06,463174
137,1.0728836059570312e-05,8.821487426757812e-06,7.867813110351562e-06,463174
138,1.0251998901367188e-05,9.059906005859375e-06,8.344650268554688e-06,463174
139,2.8133392333984375e-05,8.106231689453125e-06,7.3909759521484375e-06,463174
140,3.743171691894531e-05,7.581710815429688e-05,0.0001671314239501953,463174
141,2.3603439331054688e-05,8.106231689453125e-06,7.867813110351562e-06,463174
142,1.1205673217773438e-05,7.867813110351562e-06,7.62939453125e-06,463174
143,1.239776611328125e-05,8.344650268554688e-06,7.867813110351562e-06,463174
144,2.4318695068359375e-05,8.106231689453125e-06,7.3909759521484375e-06,463174
145,1.2636184692382812e-05,1.52587890625e-05,8.344650268554688e-06,463174
146,4.649162292480469e-05,1.0967254638671875e-05,1.5735626220703125e-05,463174
147,2.0265579223632812e-05,2.0742416381835938e-05,7.62939453125e-06,463174
148,1.2636184692382812e-05,8.821487426757812e-06,8.344650268554688e-06,463174
149,1.7404556274414062e-05,8.58306884765625e-06,8.344650268554688e-06,463174
150,4.363059997558594e-05,2.9802322387695312e-05,8.106231689453125e-06,463174
151,1.33514404296875e-05,9.059906005859375e-06,1.4543533325195312e-05,463174
152,4.1484832763671875e-05,0.00011301040649414062,5.841255187988281e-05,463174
153,2.574920654296875e-05,8.821487426757812e-06,5.4836273193359375e-06,463174
154,2.002716064453125e-05,1.7404556274414062e-05,6.9141387939453125e-06,463174
155,8.106231689453125e-06,5.245208740234375e-06,5.0067901611328125e-06,463174
156,6.9141387939453125e-06,5.245208740234375e-06,4.76837158203125e-06,463174
157,6.9141387939453125e-06,5.245208740234375e-06,4.76837158203125e-06,463174
158,6.9141387939453125e-06,1.1205673217773438e-05,1.5020370483398438e-05,463174
159,1.5735626220703125e-05,5.9604644775390625e-06,5.245208740234375e-06,463174
160,7.152557373046875e-06,5.0067901611328125e-06,5.245208740234375e-06,463174
